
ATNF Pulsar Catalogue
Catalogue Version: 2.1.1
#;NAME;PSRJ;P0;P1;F0;F1;DM;RM;W50;S1400;BINARY;DIST;AGE;
;;;(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(mJy);(type);(kpc);(Yr);
209;J0459-0210;J0459-0210;1.133076;1.40e-15;0.882553;-1.089e-15;21.02;18.00;9.900;0.60;*;0.160;1.28e+07;
210;J0501+4516;J0501+4516;5.762097;5.82e-12;0.173548;-1.752e-13;*;*;*;*;*;2.000;1.57e+04;
211;B0458+46;J0502+4654;0.638565;5.58e-15;1.566010;-1.369e-14;41.83;-175.20;22.700;2.50;*;1.319;1.81e+06;
212;B0502-66;J0502-6617;0.691251;2.31e-14;1.446652;-4.832e-14;68.90;*;*;*;*;49.700;4.74e+05;
213;J0506+50;J0506+50;0.003390;*;294.985251;*;43.40;*;*;*;*;1.383;*;
214;J0509+0856;J0509+0856;0.004056;4.41e-21;246.558157;-2.682e-16;38.33;44.10;*;1.47;ELL1;0.817;1.46e+10;
215;J0509+37;J0509+37;2.496100;*;0.400625;*;30.00;*;*;*;*;0.930;*;
216;J0509+3801;J0509+3801;0.076541;7.93e-18;13.064834;-1.354e-15;69.08;*;5.000;*;DDGR;1.562;1.53e+08;
217;J0511-6508;J0511-6508;0.322062;2.06e-16;3.104994;-1.986e-15;25.66;27.00;12.000;0.31;*;0.818;2.48e+07;
218;J0514-4002A;J0514-4002A;0.004991;6.97e-22;200.377707;-2.800e-17;52.14;-12.00;0.320;*;DDH;11.950;1.13e+11;
219;J0514-4002B;J0514-4002B;0.002816;*;355.075809;*;52.08;-13.00;0.380;*;*;11.950;*;
220;J0514-4002C;J0514-4002C;0.005565;*;179.700978;*;52.05;-8.00;0.560;*;*;11.950;*;
221;J0514-4002D;J0514-4002D;0.004554;*;219.567890;*;52.22;-12.00;0.840;*;BT;11.950;*;
222;J0514-4002E;J0514-4002E;0.005596;*;178.702264;*;51.93;-6.00;0.470;*;BT;11.950;*;
223;J0514-4002F;J0514-4002F;0.004329;*;230.978889;*;51.62;*;0.360;*;BT;11.950;*;
224;J0514-4002G;J0514-4002G;0.003803;*;262.964132;*;50.96;-12.00;0.700;*;BT;11.950;*;
225;J0514-4002H;J0514-4002H;0.005506;*;181.616752;*;52.23;-11.00;0.600;*;BT;11.950;*;
226;J0514-4002I;J0514-4002I;0.032654;*;30.623932;*;52.58;*;1.500;*;BT;11.950;*;
227;J0514-4002J;J0514-4002J;0.006633;*;150.763618;*;52.02;-14.00;0.720;*;*;11.950;*;
228;J0514-4002K;J0514-4002K;0.004692;*;213.128730;*;51.93;-13.00;0.160;*;*;11.950;*;
229;J0514-4002L;J0514-4002L;0.002959;*;337.974855;*;51.24;*;1.390;*;BT;11.950;*;
230;J0514-4002M;J0514-4002M;0.004798;*;208.428863;*;51.68;-13.00;0.320;*;*;11.950;*;
231;J0514-4002N;J0514-4002N;0.005568;*;179.600927;*;51.07;*;0.890;*;*;11.950;*;
232;J0514-4408;J0514-4408;0.320271;2.04e-15;3.122357;-1.991e-14;15.12;17.40;5.600;*;*;0.966;2.48e+06;
233;J0517+2212;J0517+2212;0.222367;1.16e-17;4.497080;-2.347e-16;18.70;-20.20;27.000;0.46;*;0.159;3.04e+08;
234;J0518+2431;J0518+2431;2.636940;6.86e-16;0.379227;-9.860e-17;73.76;131.00;*;0.11;*;1.598;6.09e+07;
235;J0518+5125;J0518+5125;0.912512;1.91e-16;1.095876;-2.294e-16;39.24;*;33.000;*;*;1.337;7.57e+07;
236;J0518+5416;J0518+5416;0.340203;1.68e-15;2.939424;-1.448e-14;42.33;*;10.000;*;*;1.434;3.22e+06;
237;J0519+44;J0519+44;0.515000;*;1.941748;*;52.00;*;*;*;*;1.421;*;
238;J0519-6932;J0519-6932;0.263212;6.97e-16;3.799224;-1.006e-14;118.86;85.00;3.600;0.13;*;49.700;5.98e+06;
239;J0520-2553;J0520-2553;0.241642;3.01e-17;4.138350;-5.154e-16;33.77;-12.00;10.000;0.80;*;2.379;1.27e+08;
240;J0521-68;J0521-68;0.433421;*;2.307227;*;136.00;*;*;*;*;49.700;*;
241;J0522-6847;J0522-6847;0.674532;1.77e-14;1.482510;-3.896e-14;126.45;-123.00;15.000;0.08;*;49.700;6.03e+05;
242;J0523-7125;J0523-7125;0.322500;*;3.100775;*;157.50;456.00;100.000;1.00;*;49.700;*;
243;B0523+11;J0525+1115;0.354438;7.36e-17;2.821371;-5.859e-16;79.42;20.10;14.000;1.94;*;1.841;7.63e+07;
244;J0525-6607;J0525-6607;8.047000;6.50e-11;0.124270;-1.004e-12;*;*;*;*;*;*;1.96e+03;
245;B0525+21;J0528+2200;3.745539;4.01e-14;0.266984;-2.855e-15;50.87;-40.02;151.900;8.90;*;1.215;1.48e+06;
246;J0529-0715;J0529-0715;0.689224;5.75e-16;1.450908;-1.211e-15;87.30;-46.00;11.900;0.12;*;7.001;1.90e+07;
247;B0529-66;J0529-6652;0.975737;1.55e-14;1.024867;-1.625e-14;103.31;9.00;22.000;0.21;*;49.700;9.99e+05;
248;J0530-39;J0530-39;0.907000;*;1.102536;*;48.50;*;34.000;*;*;25.000;*;
249;J0532-6639;J0532-6639;0.642743;5.35e-15;1.555832;-1.296e-14;69.20;54.00;8.800;0.04;*;49.700;1.90e+06;
250;J0532-69;J0532-69;1.149196;*;0.870174;*;124.00;*;*;*;*;49.700;*;
251;J0533+0402;J0533+0402;0.963018;1.60e-16;1.038402;-1.725e-16;83.70;-71.00;15.000;0.70;*;2.172;9.53e+07;
252;J0533+6759;J0533+6759;0.004388;1.26e-20;227.885949;-6.553e-16;57.37;*;*;*;*;2.392;5.51e+09;
253;J0533-4524;J0533-4524;0.157285;2.80e-16;6.357905;-1.133e-14;18.93;*;*;*;*;1.239;8.89e+06;
254;B0531+21;J0534+2200;0.033392;4.21e-13;29.946923;-3.775e-10;56.77;-45.44;3.000;14.00;*;2.000;1.26e+03;
255;J0534+34;J0534+34;*;*;*;*;24.50;*;*;*;*;0.403;*;
256;J0534-13;J0534-13;0.979000;*;1.021450;*;74.30;*;13.000;*;*;6.226;*;
257;J0534-6703;J0534-6703;1.817565;4.25e-13;0.550187;-1.287e-13;95.30;-35.00;16.000;0.12;*;49.700;6.78e+04;
258;J0535-66;J0535-66;0.210524;*;4.750044;*;75.00;*;*;*;*;49.700;*;
259;J0535-6935;J0535-6935;0.200511;1.15e-14;4.987249;-2.860e-13;93.70;*;*;0.05;*;49.700;2.76e+05;
260;B0538-75;J0536-7543;1.245856;5.78e-16;0.802661;-3.722e-16;18.58;26.10;60.000;8.70;*;0.143;3.42e+07;
261;J0537-69;J0537-69;0.112613;*;8.879953;*;273.00;*;*;*;*;49.700;*;
262;J0537-6910;J0537-6910;0.016122;5.18e-14;62.026190;-1.992e-10;*;*;*;0.00;*;49.700;4.93e+03;
263;J0538+2817;J0538+2817;0.143158;3.67e-15;6.985276;-1.790e-13;39.57;39.00;2.700;1.90;*;1.300;6.18e+05;
264;J0540+3207;J0540+3207;0.524271;4.48e-16;1.907411;-1.630e-15;61.97;13.70;9.000;0.34;*;1.421;1.85e+07;
265;J0540+4542;J0540+4542;0.401141;1.17e-17;2.492886;-7.270e-17;56.12;3.00;*;0.17;*;1.512;5.43e+08;
266;B0540-69;J0540-6919;0.050570;4.79e-13;19.774686;-1.873e-10;147.20;-245.80;16.980;0.10;*;49.700;1.67e+03;
267;J0540-7125;J0540-7125;1.286015;8.20e-16;0.777596;-4.958e-16;29.41;43.00;39.000;0.30;*;0.547;2.48e+07;
268;J0542-68;J0542-68;0.425189;*;2.351895;*;114.00;*;*;*;*;49.700;*;
269;B0540+23;J0543+2329;0.245975;1.54e-14;4.065458;-2.549e-13;77.70;2.85;5.300;10.70;*;1.565;2.53e+05;
270;J0543-6851;J0543-6851;0.708954;3.94e-15;1.410528;-7.839e-15;134.90;*;53.000;0.09;*;49.700;2.85e+06;
271;J0544+20;J0544+20;*;*;*;*;56.90;*;2.300;*;*;1.283;*;
272;J0545-03;J0545-03;1.073930;*;0.931159;*;67.20;*;*;*;*;2.062;*;
273;J0546+2441;J0546+2441;2.843850;7.65e-15;0.351636;-9.459e-16;73.81;24.00;28.000;*;*;1.517;5.89e+06;
274;J0550+09;J0550+09;1.745000;*;0.573066;*;86.60;*;22.500;*;*;1.804;*;
275;J0553+4111;J0553+4111;0.559493;1.37e-17;1.787331;-4.390e-17;37.90;-15.00;*;0.06;*;1.144;6.45e+08;
276;J0554+3107;J0554+3107;0.464961;1.43e-13;2.150718;-6.596e-13;*;*;*;*;*;2.000;5.17e+04;
277;J0555+3948;J0555+3948;1.146906;*;0.871911;*;36.10;9.00;27.000;*;*;1.065;*;
278;J0555-7056;J0555-7056;0.827838;5.96e-15;1.207966;-8.697e-15;72.90;26.00;11.000;0.06;*;49.700;2.20e+06;
279;J0556-67;J0556-67;0.790549;*;1.264943;*;71.00;*;*;0.12;*;47.489;*;
280;J0557+1550;J0557+1550;0.002556;7.35e-21;391.180128;-1.125e-15;102.57;26.00;*;0.07;ELL1;1.834;5.51e+09;
281;J0557-2948;J0557-2948;0.043643;7.30e-20;22.913372;-3.833e-17;49.03;1.10;0.660;0.05;*;4.268;9.47e+09;
282;B0559-57;J0600-5756;2.261365;2.78e-15;0.442211;-5.436e-16;30.00;*;60.000;*;*;0.553;1.29e+07;
283;B0559-05;J0601-0527;0.395969;1.30e-15;2.525449;-8.305e-15;80.54;64.00;17.000;2.60;*;2.060;4.82e+06;
284;J0605+3757;J0605+3757;0.002728;4.72e-21;366.575069;-6.339e-16;20.95;*;*;*;BT;0.215;9.16e+09;
285;J0608+00;J0608+00;1.076200;*;0.929195;*;48.50;*;17.000;*;*;1.311;*;
286;J0608+1635;J0608+1635;0.945845;1.35e-14;1.057256;-1.510e-14;86.08;*;17.000;0.14;*;1.650;1.11e+06;
287;J0609+2130;J0609+2130;0.055698;2.35e-19;17.953962;-7.575e-17;38.73;*;1.600;*;*;0.574;3.76e+09;
288;J0610-2100;J0610-2100;0.003861;1.23e-20;258.978475;-8.267e-16;60.67;33.70;0.570;0.65;ELL1;1.389;4.96e+09;
289;J0611+04;J0611+04;1.674430;*;0.597218;*;69.90;*;81.000;*;*;1.662;*;
290;J0611+1436;J0611+1436;0.270329;4.00e-15;3.699190;-5.469e-14;43.99;*;17.000;1.10;*;0.807;1.07e+06;
291;J0611+30;J0611+30;1.412090;*;0.708170;*;45.26;14.46;*;*;*;1.080;*;
292;B0609+37;J0612+3721;0.297982;5.95e-17;3.355904;-6.697e-16;27.15;34.51;5.300;4.00;*;0.535;7.94e+07;
293;J0612+37216;J0612+37216;0.443871;1.50e-16;2.252905;-7.600e-16;39.27;*;13.000;*;*;1.083;4.70e+07;
294;J0613+3731;J0613+3731;0.619198;3.24e-15;1.614992;-8.463e-15;18.99;16.00;11.000;0.13;*;0.186;3.02e+06;
295;J0613-0200;J0613-0200;0.003062;9.59e-21;326.600562;-1.023e-15;38.77;18.40;0.462;2.25;T2;0.780;5.06e+09;
296;B0611+22;J0614+2229;0.334960;5.94e-14;2.985431;-5.299e-13;96.91;66.00;6.500;3.30;*;3.500;8.93e+04;
297;J0614+83;J0614+83;1.039200;*;0.962279;*;44.20;-13.00;12.000;*;*;3.699;*;
298;J0614-3329;J0614-3329;0.003149;1.74e-20;317.594455;-1.757e-15;37.05;38.90;0.360;0.68;ELL1;0.630;2.86e+09;
299;J0621+0336;J0621+0336;0.269954;7.24e-18;3.704334;-9.935e-17;72.53;*;2.600;1.00;*;1.701;5.91e+08;
300;J0621+1002;J0621+1002;0.028854;4.73e-20;34.657407;-5.681e-17;36.55;53.20;0.690;1.72;DD;1.351;9.67e+09;
301;J0621+2514;J0621+2514;0.002722;2.48e-20;367.405552;-3.352e-15;83.63;10.60;*;0.08;ELL1;1.641;1.74e+09;
302;J0621-55;J0621-55;*;*;*;*;22.00;*;*;*;*;0.380;*;
303;J0622+3749;J0622+3749;0.333208;2.54e-14;3.001126;-2.290e-13;*;*;*;*;*;*;2.08e+05;
304;J0623+0340;J0623+0340;0.613760;8.84e-17;1.629302;-2.346e-16;54.00;*;18.780;0.27;*;1.375;1.10e+08;
305;B0621-04;J0624-0424;1.039076;8.30e-16;0.962393;-7.692e-16;70.83;49.00;5.100;1.40;*;1.938;1.98e+07;
306;J0625+10;J0625+10;0.498397;*;2.006433;*;78.00;*;*;0.09;*;1.637;*;
307;J0627+0649;J0627+0649;0.346523;1.70e-15;2.885815;-1.414e-14;86.60;179.00;3.400;1.90;*;1.794;3.23e+06;
308;J0627+0706;J0627+0706;0.475885;2.98e-14;2.101348;-1.316e-13;138.25;212.00;5.100;1.39;*;2.289;2.53e+05;
309;J0627+16;J0627+16;2.180000;*;0.458716;*;113.00;*;0.300;*;*;1.932;*;
310;J0628+0909;J0628+0909;1.241421;5.48e-16;0.805528;-3.555e-16;88.30;*;9.700;0.06;*;1.771;3.59e+07;
311;B0626+24;J0629+2415;0.476623;2.00e-15;2.098095;-8.785e-15;84.18;75.70;11.000;3.20;*;2.900;3.78e+06;
312;J0630+19;J0630+19;1.248550;*;0.800929;*;48.10;*;35.000;*;*;0.982;*;
313;J0630-0046;J0630-0046;0.680575;3.75e-15;1.469346;-8.092e-15;97.90;44.00;5.300;0.41;*;2.109;2.88e+06;
314;B0628-28;J0630-2834;1.244419;7.12e-15;0.803588;-4.600e-15;34.42;46.53;63.000;32.00;*;0.320;2.77e+06;
315;J0631+0646;J0631+0646;0.110979;3.62e-15;9.010718;-2.937e-13;195.20;105.00;21.000;*;*;4.583;4.86e+05;
316;J0631+1036;J0631+1036;0.287816;1.03e-13;3.474447;-1.240e-12;125.36;137.00;6.700;1.11;*;2.104;4.44e+04;
317;J0633+0632;J0633+0632;0.297395;7.96e-14;3.362529;-8.999e-13;*;*;*;*;*;1.355;5.92e+04;
318;J0633+1746;J0633+1746;0.237099;1.10e-14;4.217640;-1.952e-13;2.89;2.80;*;*;*;0.190;3.42e+05;
319;J0633-2015;J0633-2015;3.253211;3.82e-15;0.307389;-3.609e-16;90.70;-5.00;57.000;0.20;*;3.676;1.35e+07;
320;J0635+0533;J0635+0533;0.033856;*;29.536430;*;*;*;*;*;*;*;*;
321;J0636+5128;J0636+5128;0.002869;3.45e-21;348.559226;-4.190e-16;11.11;-7.00;0.170;1.00;T2;0.714;1.32e+10;
322;J0636-23;J0636-23;0.476000;*;2.100840;*;59.12;*;15.000;*;*;2.815;*;
323;J0636-3044;J0636-3044;0.003946;*;253.436600;*;15.46;36.90;*;1.51;*;0.679;*;
324;J0636-4549;J0636-4549;1.984597;3.17e-15;0.503881;-8.054e-16;26.31;*;17.000;0.10;*;0.383;9.91e+06;
325;J0637+0332g;J0637+0332g;*;*;*;*;152.00;*;*;*;*;2.542;*;
326;J0641+07;J0641+07;*;*;*;*;52.00;*;*;*;*;1.257;*;
327;J0645+5158;J0645+5158;0.008853;4.92e-21;112.949723;-6.278e-17;18.25;-2.90;0.260;0.29;*;1.220;2.85e+10;
328;J0645+80;J0645+80;0.657870;*;1.520057;*;49.70;*;32.000;*;*;5.145;*;
329;J0646+0905;J0646+0905;0.903913;7.36e-16;1.106301;-9.009e-16;147.85;-149.00;22.000;3.60;*;2.504;1.95e+07;
330;J0646-54;J0646-54;0.002510;*;398.406375;*;40.10;*;*;*;*;0.367;*;
331;J0647+0913;J0647+0913;1.234854;6.42e-15;0.809813;-4.211e-15;154.70;*;9.600;0.18;*;2.665;3.05e+06;
332;J0648-27;J0648-27;4.169000;*;0.239866;*;132.50;*;54.000;*;*;9.987;*;
333;J0652-0142;J0652-0142;0.924054;1.52e-16;1.082188;-1.786e-16;116.30;*;21.000;0.41;*;2.318;9.60e+07;
334;J0653+06;J0653+06;0.790000;*;1.265823;*;83.70;*;*;*;*;2.140;*;
335;J0653+4706;J0653+4706;0.004758;2.08e-20;210.166607;-9.170e-16;25.54;*;*;*;ELL1;0.913;3.63e+09;
336;B0643+80;J0653+8051;1.214441;3.80e-15;0.823424;-2.576e-15;33.32;-31.77;13.900;0.40;*;2.348;5.07e+06;
337;J0656-2228;J0656-2228;1.224754;2.67e-17;0.816490;-1.780e-17;32.39;83.00;16.000;3.00;*;1.623;7.27e+08;
338;J0656-5449;J0656-5449;0.183157;3.19e-17;5.459800;-9.512e-16;67.50;*;5.700;0.40;*;0.372;9.09e+07;
339;J0658+0022;J0658+0022;0.563295;9.15e-15;1.775269;-2.884e-14;115.60;*;12.670;0.13;*;2.301;9.75e+05;
340;J0658+2936;J0658+2936;0.823701;1.44e-15;1.214033;-2.120e-15;39.00;*;*;*;*;0.815;9.07e+06;
341;B0656+14;J0659+1414;0.384929;5.49e-14;2.597884;-3.708e-13;13.94;22.73;15.000;2.70;*;0.286;1.11e+05;
342;J0659-36;J0659-36;0.637000;*;1.569859;*;83.40;*;13.000;*;*;3.916;*;
343;B0655+64;J0700+6418;0.195671;6.85e-19;5.110621;-1.790e-17;8.77;-18.07;6.000;0.30;BT;0.413;4.52e+09;
344;J0702-4956;J0702-4956;0.665994;*;1.501516;*;98.70;*;*;*;*;0.538;*;
345;J0709+0458;J0709+0458;0.034429;3.80e-19;29.045300;-3.209e-16;44.27;43.40;3.000;0.26;DDH;1.203;1.43e+09;
346;J0709-5923;J0709-5923;0.485268;1.26e-16;2.060715;-5.351e-16;65.00;*;4.700;0.30;*;0.371;6.10e+07;
347;J0711+0931;J0711+0931;1.214090;4.00e-16;0.823662;-2.714e-16;46.24;62.80;23.000;0.04;*;1.168;4.81e+07;
348;J0711-6830;J0711-6830;0.005491;1.49e-20;182.117235;-4.944e-16;18.41;23.90;1.092;2.60;*;0.106;5.84e+09;
349;J0719-2545;J0719-2545;0.974725;7.28e-15;1.025931;-7.664e-15;253.89;164.00;14.000;0.80;*;9.810;2.12e+06;
350;J0720-3125;J0720-3125;8.391116;6.98e-14;0.119174;-9.913e-16;*;*;*;*;*;0.400;1.90e+06;
351;J0721-2038;J0721-2038;0.015542;4.40e-20;64.340148;-1.821e-16;76.01;-18.40;0.370;0.27;BT;2.680;5.60e+09;
352;J0723-2050;J0723-2050;0.711540;*;1.405402;*;130.00;*;3.700;*;*;3.265;*;
353;J0725-1635;J0725-1635;0.424311;9.26e-17;2.356760;-5.146e-16;98.98;188.00;2.900;0.33;*;2.777;7.26e+07;
354;J0726-2612;J0726-2612;3.442308;2.93e-13;0.290503;-2.474e-14;69.40;126.00;77.000;0.20;*;2.900;1.86e+05;
355;J0729-1448;J0729-1448;0.251709;1.13e-13;3.972847;-1.789e-12;91.89;46.00;7.600;0.83;*;2.681;3.52e+04;
356;B0727-18;J0729-1836;0.510160;1.90e-14;1.960168;-7.284e-14;61.29;51.00;14.000;1.90;*;2.000;4.26e+05;
357;J0732+2314;J0732+2314;0.004090;6.02e-21;244.490583;-3.600e-16;44.67;3.60;*;0.73;ELL1;1.151;1.08e+10;
358;J0733-2345;J0733-2345;1.796250;5.70e-15;0.556715;-1.768e-15;190.20;*;18.000;0.07;*;4.122;4.99e+06;
359;J0734-1559;J0734-1559;0.156250;1.22e-14;6.400000;-5.000e-13;*;*;*;*;*;*;2.03e+05;
360;J0736-6304;J0736-6304;4.862874;1.52e-13;0.205640;-6.424e-15;19.40;*;30.000;*;*;0.103;5.07e+05;
361;J0737-2202;J0737-2202;0.320366;5.47e-15;3.121426;-5.328e-14;95.59;163.00;5.300;0.47;*;3.059;9.28e+05;
362;J0737-3039A;J0737-3039A;0.022699;1.76e-18;44.054069;-3.416e-15;48.92;120.46;14.300;3.06;DDS;1.100;2.04e+08;
363;J0737-3039B;J0737-3039B;2.773461;8.92e-16;0.360560;-1.160e-16;48.92;118.00;58.000;1.30;DD;1.100;4.92e+07;
364;J0738+6904;J0738+6904;6.827693;2.70e-14;0.146462;-5.785e-16;17.22;*;61.000;*;*;1.124;4.01e+06;
365;B0736-40;J0738-4042;0.374921;1.38e-15;2.667230;-9.782e-15;160.90;12.10;25.000;112.60;*;1.600;4.32e+06;
366;J0740+6620;J0740+6620;0.002886;1.22e-20;346.531996;-1.464e-15;14.96;-41.00;0.250;1.10;ELL1;1.150;3.75e+09;
367;J0741+17;J0741+17;1.730000;*;0.578035;*;44.30;*;*;*;*;1.207;*;
368;J0742+4110;J0742+4110;0.003139;6.69e-21;318.558897;-6.791e-16;20.81;*;0.640;*;ELL1;0.523;7.43e+09;
369;J0742+4334;J0742+4334;0.606191;3.71e-16;1.649646;-1.010e-15;36.26;*;30.000;*;*;1.610;2.59e+07;
370;B0740-28;J0742-2822;0.166762;1.68e-14;5.996559;-6.049e-13;73.73;149.95;4.400;26.00;*;2.000;1.57e+05;
371;J0744-2525;J0744-2525;0.091996;9.56e-16;10.870000;-1.130e-13;*;*;*;*;*;*;1.52e+06;
372;B0743-53;J0745-5353;0.214839;2.19e-15;4.654659;-4.738e-14;121.38;-71.00;10.700;5.00;*;0.565;1.56e+06;
373;J0746-4529;J0746-4529;2.791025;1.67e-14;0.358291;-2.139e-15;134.57;*;38.000;0.20;*;0.810;2.65e+06;
374;J0747+6646;J0747+6646;0.407701;6.78e-16;2.452781;-4.080e-15;27.58;*;6.000;*;*;1.864;9.52e+06;
375;J0749-4247;J0749-4247;1.095452;9.77e-16;0.912865;-8.142e-16;104.59;125.00;15.000;0.50;*;0.560;1.78e+07;
376;J0750+57;J0750+57;1.174870;*;0.851158;*;26.70;*;13.000;*;*;1.604;*;
377;J0750-6846;J0750-6846;0.915216;1.10e-16;1.092638;-1.309e-16;54.60;-31.00;188.500;1.70;*;0.338;1.32e+08;
378;J0751+1807;J0751+1807;0.003479;7.79e-21;287.457854;-6.435e-16;30.24;41.59;0.700;1.35;ELL1H;1.100;7.08e+09;
379;J0753-0816;J0753-0816;2.093620;*;0.477642;*;38.00;*;*;*;*;1.718;*;
380;B0751+32;J0754+3231;1.442349;1.08e-15;0.693313;-5.191e-16;39.99;4.73;12.200;0.60;*;1.464;2.12e+07;
381;B0756-15;J0758-1528;0.682265;1.62e-15;1.465706;-3.478e-15;63.33;55.00;7.300;2.60;*;2.710;6.68e+06;
382;J0758-30;J0758-30;1.092000;*;0.915751;*;86.50;*;27.000;*;*;0.444;*;
383;J0802-5613;J0802-5613;0.273973;2.76e-15;3.650000;-3.680e-14;*;*;*;*;*;*;1.57e+06;
384;J0803+34;J0803+34;*;*;*;*;34.00;*;*;*;*;1.305;*;
385;J0803-0942;J0803-0942;0.571257;1.16e-15;1.750527;-3.558e-15;21.10;-17.50;8.210;0.10;*;0.818;7.80e+06;
386;J0804-3647;J0804-3647;2.191987;4.21e-15;0.456207;-8.762e-16;186.80;*;32.000;0.29;*;2.916;8.25e+06;
387;J0806+08;J0806+08;2.063100;*;0.484707;*;46.00;*;*;*;*;1.848;*;
388;J0806-4123;J0806-4123;11.370386;5.56e-14;0.087948;-4.300e-16;*;*;*;*;*;*;3.24e+06;
389;J0807-5421;J0807-5421;0.526644;3.78e-16;1.898818;-1.363e-15;165.03;-65.00;11.000;0.40;*;0.887;2.21e+07;
390;J0808-3937;J0808-3937;0.866349;4.01e-16;1.154269;-5.343e-16;169.10;*;11.000;0.21;*;2.884;3.42e+07;
391;B0808-47;J0809-4753;0.547202;3.08e-15;1.827478;-1.027e-14;228.30;105.00;8.500;2.60;*;6.488;2.82e+06;
392;J0811+37;J0811+37;1.248300;*;0.801089;*;16.95;*;50.000;*;*;0.355;*;
393;J0812-3905;J0812-3905;0.482596;4.49e-17;2.072127;-1.928e-16;329.60;*;37.000;0.38;*;5.860;1.70e+08;
394;J0813+22;J0813+22;0.531400;*;1.881822;*;52.29;*;21.000;*;*;2.449;*;
395;B0809+74;J0814+7429;1.292241;1.68e-16;0.773849;-1.007e-16;5.75;-14.00;41.400;10.00;*;0.432;1.22e+08;
396;J0815+0939;J0815+0939;0.645161;1.39e-16;1.550000;-3.339e-16;52.66;54.00;166.000;*;*;2.491;7.35e+07;
397;J0815+4611;J0815+4611;0.434242;3.90e-18;2.302862;-2.068e-17;11.27;*;13.000;*;*;0.358;1.76e+09;
398;J0818-3049;J0818-3049;0.763742;5.80e-16;1.309343;-9.943e-16;118.90;*;46.000;0.33;*;0.422;2.09e+07;
399;J0818-3232;J0818-3232;2.161259;7.53e-16;0.462693;-1.613e-16;131.80;25.00;11.000;1.40;*;0.484;4.55e+07;
400;B0818-13;J0820-1350;1.238130;2.11e-15;0.807670;-1.373e-15;40.94;-1.20;23.000;6.00;*;1.900;9.32e+06;
401;J0820-3826;J0820-3826;0.124837;2.44e-15;8.010467;-1.567e-13;195.50;122.00;6.000;0.49;*;4.084;8.10e+05;
402;J0820-3921;J0820-3921;1.073567;1.22e-14;0.931475;-1.056e-14;179.40;127.00;46.000;0.40;*;3.576;1.40e+06;
403;B0818-41;J0820-4114;0.545446;1.98e-17;1.833364;-6.640e-17;113.40;57.70;141.000;5.00;*;0.571;4.37e+08;
404;J0821-4221;J0821-4221;0.396728;3.48e-15;2.520617;-2.210e-14;270.60;251.00;4.300;0.80;*;5.802;1.81e+06;
405;J0821-4300;J0821-4300;0.112799;9.29e-18;8.865291;-7.300e-16;*;*;*;*;*;2.200;1.92e+08;
406;B0820+02;J0823+0159;0.864873;1.05e-16;1.156239;-1.398e-16;23.73;13.00;20.000;4.00;BT;2.700;1.31e+08;
407;J0824+0028;J0824+0028;0.009861;1.47e-19;101.406008;-1.510e-15;34.55;38.70;*;0.51;DDH;1.689;1.06e+09;
408;B0823+26;J0826+2637;0.530661;1.71e-15;1.884444;-6.070e-15;19.48;5.38;5.800;10.00;*;0.500;4.92e+06;
409;J0827+53;J0827+53;0.013500;*;74.074074;*;23.10;*;1.000;*;*;1.571;*;
410;B0826-34;J0828-3417;1.848919;9.96e-16;0.540857;-2.914e-16;51.60;59.00;113.000;0.25;*;0.354;2.94e+07;
411;J0831-4406;J0831-4406;0.311674;1.28e-15;3.208486;-1.317e-14;254.00;509.00;5.500;0.43;*;5.883;3.86e+06;
412;J0834-4159;J0834-4159;0.121118;4.28e-15;8.256428;-2.918e-13;240.50;-377.00;4.700;0.28;*;5.508;4.48e+05;
413;J0834-60;J0834-60;0.384645;*;2.599800;*;20.00;*;*;*;*;0.095;*;
414;J0835-3707;J0835-3707;0.541404;9.78e-15;1.847048;-3.336e-14;112.40;62.80;4.200;0.28;*;0.555;8.77e+05;
415;B0833-45;J0835-4510;0.089328;1.25e-13;11.194650;-1.567e-11;67.77;31.38;1.700;1050.00;*;0.280;1.13e+04;
416;J0836-4233;J0836-4233;0.738436;1.32e-15;1.354214;-2.421e-15;180.00;*;14.000;0.13;*;3.609;8.86e+06;
417;B0834+06;J0837+0610;1.273768;6.80e-15;0.785072;-4.191e-15;12.86;25.32;26.000;5.00;*;0.190;2.97e+06;
418;J0837-2454;J0837-2454;0.629410;3.49e-13;1.588789;-8.810e-13;143.10;*;1.000;*;*;25.000;2.86e+04;
419;B0835-41;J0837-4135;0.751625;3.54e-15;1.330450;-6.263e-15;147.20;144.50;4.400;35.00;*;1.500;3.37e+06;
420;J0838-2621;J0838-2621;0.308581;3.90e-17;3.240644;-4.096e-16;116.90;96.00;7.800;0.50;*;4.101;1.25e+08;
421;J0838-3947;J0838-3947;1.703946;8.13e-16;0.586873;-2.800e-16;219.00;*;57.000;0.11;*;5.095;3.32e+07;
422;J0839-66;J0839-66;0.449339;*;2.225491;*;83.00;*;*;*;*;0.448;*;
423;B0839-53;J0840-5332;0.720614;1.64e-15;1.387706;-3.154e-15;156.50;81.00;23.000;1.70;*;0.566;6.97e+06;
424;B0840-48;J0842-4851;0.644354;9.56e-15;1.551943;-2.302e-14;196.85;145.00;6.900;1.07;*;3.103;1.07e+06;
425;J0843+0719;J0843+0719;1.365860;*;0.732139;*;36.60;40.00;23.000;*;*;2.068;*;
