
ATNF Pulsar Catalogue
Catalogue Version: 2.1.1
#;NAME;PSRJ;P0;P1;F0;F1;DM;RM;W50;S1400;BINARY;DIST;AGE;
;;;(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(mJy);(type);(kpc);(Yr);
199;J0454+4529;J0454+4529;1.389137;4.89e-15;0.719871;-2.533e-15;20.83;*;23.540;*;*;0.765;4.50e+06;
200;B0450+55;J0454+5543;0.340729;2.37e-15;2.934880;-2.043e-14;14.59;5.80;8.100;13.00;*;1.180;2.28e+06;
201;B0456-69;J0455-6951;0.320423;1.02e-14;3.120877;-9.946e-14;94.70;-26.00;2.800;0.08;*;49.700;4.97e+05;
202;J0456-69;J0456-69;0.117073;*;8.541675;*;103.00;*;*;*;*;49.700;*;
203;J0456-7031;J0456-7031;0.800132;3.67e-14;1.249794;-5.732e-14;100.30;*;8.000;0.01;*;49.700;3.45e+05;
204;J0457+23;J0457+23;0.504900;*;1.980590;*;59.00;*;*;*;*;1.517;*;
205;J0457-6337;J0457-6337;2.497012;2.10e-16;0.400479;-3.368e-17;27.50;14.00;36.000;0.03;*;1.333;1.88e+08;
206;J0457-69;J0457-69;0.231390;*;4.321701;*;91.00;*;*;*;*;49.700;*;
207;J0458-0505;J0458-0505;1.883480;5.30e-16;0.530932;-1.494e-16;47.81;*;18.000;*;*;1.938;5.63e+07;
208;J0458-67;J0458-67;1.133900;*;0.881912;*;97.00;*;*;*;*;49.700;*;
